,mal_id,episodes,airing,duration,rating,score,scored_by,rank,popularity,year,genres,Action,Adventure,Award Winning,Comedy,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
18,89,51.0,False,24,14,6.79,10884.0,5084.0,4104,1993.0,"Drama,Sci-Fi",0,0,0,0,1,0,0,0,0,1,0,0,0,0
19,90,49.0,False,24,14,7.68,88833.0,1231.0,1426,1995.0,"Action,Drama,Sci-Fi",1,0,0,0,1,0,0,0,0,1,0,0,0,0
21,92,39.0,False,24,14,7.34,15705.0,2425.0,3621,1996.0,"Adventure,Drama,Sci-Fi",0,1,0,0,1,0,0,0,0,1,0,0,0,0
22,93,50.0,False,24,18,7.74,94246.0,1074.0,1353,2002.0,"Action,Award Winning,Drama,Romance,Sci-Fi",1,0,1,0,1,0,0,0,1,1,0,0,0,0
23,94,50.0,False,24,18,7.18,64177.0,3268.0,1932,2004.0,"Action,Drama,Romance,Sci-Fi",1,0,0,0,1,0,0,0,1,1,0,0,0,0
24,95,50.0,False,24,14,7.76,16721.0,1030.0,3108,1999.0,"Action,Adventure,Award Winning,Drama,Romance,Sci-Fi",1,1,1,0,1,0,0,0,1,1,0,0,0,0
0,96,49.0,False,24,14,7.58,36875.0,1495.0,2550,1994.0,"Action,Drama,Romance,Sci-Fi",1,0,0,0,1,0,0,0,1,1,0,0,0,0
1,97,26.0,False,24,14,7.79,70606.0,971.0,1332,2003.0,"Action,Adventure,Sci-Fi",1,1,0,0,0,0,0,0,0,1,0,0,0,0
2,98,26.0,False,23,14,7.41,51567.0,2113.0,1826,2004.0,"Action,Fantasy,Girls Love",1,0,0,0,0,1,0,0,0,0,0,0,0,0
3,99,26.0,False,23,14,7.28,25210.0,2724.0,2996,2005.0,"Comedy,Drama,Fantasy",0,0,0,1,1,1,0,0,0,0,0,0,0,0
4,100,13.0,False,23,14,7.16,28595.0,3377.0,2661,2001.0,"Drama,Fantasy,Romance",0,0,0,0,1,1,0,0,1,0,0,0,0,0
5,101,12.0,False,24,14,7.28,152908.0,2744.0,786,2005.0,"Drama,Romance,Supernatural",0,0,0,0,1,0,0,0,1,0,0,0,1,0
6,102,26.0,False,25,14,7.44,53291.0,1997.0,1983,2004.0,"Comedy,Drama,Romance",0,0,0,1,1,0,0,0,1,0,0,0,0,0
7,103,74.0,False,24,0,7.52,5480.0,1726.0,5232,1994.0,"Adventure,Comedy,Fantasy,Romance",0,1,0,1,0,1,0,0,1,0,0,0,0,0
8,104,24.0,False,21,18,7.18,27597.0,3245.0,2694,2000.0,"Adventure,Drama,Horror,Romance,Supernatural",0,1,0,0,1,0,1,0,1,0,0,0,1,0
9,105,13.0,False,23,14,6.4,9301.0,7185.0,4427,2000.0,"Comedy,Romance",0,0,0,1,0,0,0,0,1,0,0,0,0,0
10,106,51.0,False,25,14,7.6,24919.0,1435.0,2708,1996.0,"Drama,Romance",0,0,0,0,1,0,0,0,1,0,0,0,0,0
11,107,13.0,False,24,14,7.18,14406.0,3288.0,3536,2002.0,"Adventure,Comedy,Fantasy,Sci-Fi",0,1,0,1,0,1,0,0,0,1,0,0,0,0
13,109,24.0,False,23,14,6.78,31132.0,5123.0,2499,2004.0,"Adventure,Comedy,Sci-Fi",0,1,0,1,0,0,0,0,0,1,0,0,0,0
14,110,52.0,False,23,14,7.59,8275.0,1468.0,4753,1997.0,"Action,Comedy,Drama,Gourmet",1,0,0,1,1,0,0,0,0,0,0,0,0,0
15,111,52.0,False,25,0,7.04,6935.0,3978.0,5100,1999.0,"Adventure,Comedy,Sci-Fi",0,1,0,1,0,0,0,0,0,1,0,0,0,0
16,112,8.0,False,17,14,4.81,3250.0,12793.0,6571,2004.0,"Action,Adventure,Comedy,Fantasy,Sci-Fi,Ecchi",1,1,0,1,0,1,0,0,0,1,0,0,0,0
17,113,26.0,False,23,14,7.37,9541.0,2284.0,4329,2003.0,"Action,Romance,Sci-Fi",1,0,0,0,0,0,0,0,1,1,0,0,0,0
18,114,26.0,False,11,14,7.89,53750.0,767.0,1591,2003.0,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,115,13.0,False,25,14,6.79,4982.0,5072.0,5851,1998.0,"Adventure,Comedy,Fantasy",0,1,0,1,0,1,0,0,0,0,0,0,0,0
20,116,26.0,False,23,14,6.93,7184.0,4434.0,4947,1995.0,"Adventure,Comedy,Fantasy,Romance",0,1,0,1,0,1,0,0,1,0,0,0,0,0
23,119,13.0,False,14,14,6.51,17598.0,6616.0,3627,2004.0,"Comedy,Drama,Romance",0,0,0,1,1,0,0,0,1,0,0,0,0,0
24,120,26.0,False,24,14,7.69,280064.0,1201.0,401,2001.0,"Drama,Romance,Supernatural",0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,121,51.0,False,24,18,8.11,880915.0,461.0,79,2003.0,"Action,Adventure,Award Winning,Drama,Fantasy",1,1,1,0,1,1,0,0,0,0,0,0,0,0
1,122,52.0,False,24,14,7.94,47418.0,698.0,1909,2002.0,"Comedy,Drama,Romance,Supernatural",0,0,0,1,1,0,0,0,1,0,0,0,1,0
2,123,52.0,False,23,14,7.61,51666.0,1423.0,1787,1995.0,"Adventure,Fantasy,Romance",0,1,0,0,0,1,0,0,1,0,0,0,0,0
4,125,13.0,False,24,14,6.43,15986.0,7027.0,3644,2004.0,"Comedy,Romance",0,0,0,1,0,0,0,0,1,0,0,0,0,0
5,126,13.0,False,24,14,6.85,11763.0,4794.0,3866,2005.0,"Comedy,Drama,Romance",0,0,0,1,1,0,0,0,1,0,0,0,0,0
6,127,24.0,False,25,14,6.92,9365.0,4499.0,4518,2000.0,"Action,Comedy,Fantasy,Sci-Fi",1,0,0,1,0,1,0,0,0,1,0,0,0,0
8,129,50.0,False,23,18,7.55,21377.0,1631.0,2878,2000.0,"Action,Adventure,Drama,Fantasy",1,1,0,0,1,1,0,0,0,0,0,0,0,0
9,130,25.0,False,23,14,7.37,13502.0,2304.0,3649,2003.0,"Action,Adventure,Comedy,Drama,Supernatural",1,1,0,1,1,0,0,0,0,0,0,0,1,0
10,131,26.0,False,24,14,7.37,8589.0,2305.0,4418,2004.0,"Action,Adventure,Comedy,Drama,Supernatural",1,1,0,1,1,0,0,0,0,0,0,0,1,0
11,132,49.0,False,24,14,7.58,53446.0,1510.0,1757,2002.0,"Action,Mystery,Supernatural",1,0,0,0,0,0,0,1,0,0,0,0,1,0
12,133,12.0,False,24,16,6.15,66098.0,8525.0,1810,2003.0,"Comedy,Romance,Ecchi",0,0,0,1,0,0,0,0,1,0,0,0,0,0
13,134,13.0,False,24,18,7.39,77064.0,2203.0,1221,2003.0,"Action,Drama,Sci-Fi",1,0,0,0,1,0,0,0,0,1,0,0,0,0
14,135,75.0,False,23,14,8.08,62470.0,503.0,1597,2001.0,"Comedy,Drama,Supernatural",0,0,0,1,1,0,0,0,0,0,0,0,1,0
15,136,62.0,False,23,14,8.41,282441.0,175.0,363,1999.0,"Action,Adventure,Fantasy",1,1,0,0,0,1,0,0,0,0,0,0,0,0
19,141,12.0,False,23,18,6.09,4278.0,8849.0,5848,2005.0,Sci-Fi,0,0,0,0,0,0,0,0,0,1,0,0,0,0
